I
1100 Version - data from several charts, build 20200415, metadata FixXP1101. Copyright c 2020, Kasluk24

-00.00000000 -000.00000000 XXXXX XXXX XX 0000000

 47.46111111  008.50444444 ZH676 LSZH L
 47.57722222  007.73694444 ZH677 LSZH L
 47.63083333  008.66777778 ZH701 LSZH L
 47.73305556  008.56750000 ZH702 LSZH L
 47.48511111  008.93650000 ZH703 LSZH L
 47.46119444  008.50541667 ZH705 LSZH L
 47.33905556  008.39388889 ZH707 LSZH L
 47.25113889  008.12588889 ZH709 LSZH L
 47.30986111  007.96000000 ZH711 LSZH L
 47.59530556  008.23369444 ZH713 LSZH L
 47.62708333  008.33752778 ZH714 LSZH L
 47.25319444  008.79808333 ZH725 LSZH L
 47.24733333  008.78747222 ZH726 LSZH L
 47.41747222  008.62447222 ZH750 LSZH L
 47.55658333  008.74288889 ZH751 LSZH L
 47.48350000  008.71250000 ZH752 LSZH L
 47.58833333  008.12888889 ZH775 LSZH L
 
 46.77944444  010.25888889 RONAG LSZS L
 46.54150000  009.88983333 DER03 LSZS L
 46.52702778  009.87808333 DER21 LSZS L
 46.62313889  009.96755556 ZS500 LSZS L
 46.57461111  009.92130556 ZS501 LSZS L
 46.39313889  009.72086111 ZS510 LSZS L
 46.46552778  009.72086111 ZS511 LSZS L
 46.60180556  009.45172222 ZS700 LSZS L
 46.32650000  009.57594444 ZS701 LSZS L
 46.35741667  009.68763889 ZS702 LSZS L
 46.50000000  009.85066667 ZS705 LSZS L
 46.56777778  009.91566667 ZS706 LSZS L
 46.73030556  010.15166667 ZS710 LSZS L
 46.66600000  010.06011111 ZS711 LSZS L
 46.55161111  009.89805556 ZS712 LSZS L
 46.43113889  009.54463889 ZS713 LSZS L
 
 47.34581389  010.94765278 ADILO LOWI L
 47.33522778  011.85568056 ADWIG LOWI L
 46.98000000  011.37666667 BRENO LOWI L
 47.28563333  010.57073889 ELMEM LOWI L
 47.62226667  011.39985000 KOGOL LOWI L
 47.19236111  011.13666111 KUDAV LOWI L
 47.32437500  010.28888611 MADEB LOWI L
 47.38898056  010.71683611 MOGTI LOWI L
 47.39301944  012.34643611 NANIT LOWI L
 47.32789722  013.32974722 OBEDI LOWI L
 47.70160833  011.78875833 TULSI LOWI L
 47.82178333  012.60099722 UNKEN LOWI L
 47.37666944  011.82500278 WI002 LOWI L
 47.25242222  011.26856111 WI005 LOWI L
 47.30566667  011.08605556 WI006 LOWI L
 47.32005000  010.98331667 WI007 LOWI L
 47.27737778  010.98933889 WI008 LOWI L
 47.29806111  010.97634167 WI009 LOWI L
 47.27124722  011.44654444 WI103 LOWI L
 47.25242222  011.26855556 WI501 LOWI L
 47.30566667  011.08606944 WI502 LOWI L
 47.25242222  011.26856944 WI505 LOWI L
 47.29019167  011.13924167 WI506 LOWI L
 47.30566667  011.08604167 WI507 LOWI L
 47.27292500  011.44271667 WI520 LOWI L
 47.31153333  011.64748056 WI521 LOWI L
 47.39660000  011.82722222 WI522 LOWI L
 47.25805556  011.32416667 WI528 LOWI L
 47.26166667  011.27166667 WI529 LOWI L
 47.25111111  011.36833333 WI531 LOWI L
 47.18309167  010.84385278 WI600 LOWI L
 47.38955833  011.78178056 WI610 LOWI L
 47.32910000  011.68216667 WI611 LOWI L
 47.30596944  011.64415278 WI612 LOWI L
 47.29820833  011.59652222 WI613 LOWI L
 47.26238056  011.37841389 WI614 LOWI L
 47.37642500  011.76010833 WI666 LOWI L
 47.25858611  011.34073056 WI700 LOWI L
 47.28950556  010.64557500 WI750 LOWI L
 47.30969722  011.05263611 WI751 LOWI L
 47.30588333  011.08580833 WI752 LOWI L
 47.25524722  011.23962778 WI753 LOWI L
 47.25221944  011.27025278 WI754 LOWI L
 47.26115833  011.05764722 WI755 LOWI L
 47.28710278  011.26206389 WI756 LOWI L
 47.29636389  010.83959722 WI802 LOWI L
 47.28991944  010.67675833 WI810 LOWI L
 47.29477500  010.79831667 WI811 LOWI L
